Time(s),Amplitude
3.126625000,0.002984896
3.126687500,0.001786388
3.126750000,0.000658871
3.126812500,-0.000423216
3.126875000,-0.001444579
3.126937500,-0.002448791
3.127000000,-0.003482603
3.127062500,-0.004620567
3.127125000,-0.005796805
3.127187500,-0.006933830
3.127250000,-0.007906451
3.127312500,-0.008625682
3.127375000,-0.008925624
3.127437500,-0.008776024
3.127500000,-0.008282948
3.127562500,-0.007729015
3.127625000,-0.007350124
3.127687500,-0.007358337
3.127750000,-0.007812326
3.127812500,-0.008626821
3.127875000,-0.009461532
3.127937500,-0.009965656
3.128000000,-0.009883063
3.128062500,-0.009203399
3.128125000,-0.008030857
3.128187500,-0.006630799
3.128250000,-0.005270967
3.128312500,-0.004147677
3.128375000,-0.003194413
3.128437500,-0.002229309
3.128500000,-0.001035369
3.128562500,0.000477026
3.128625000,0.002318541
3.128687500,0.004335361
3.128750000,0.006306335
3.128812500,0.008008767
3.128875000,0.009403548
3.128937500,0.010568677
3.129000000,0.011671427
3.129062500,0.012850580
3.129125000,0.014257537
3.129187500,0.015942164
3.129250000,0.017883638
3.129312500,0.019993216
3.129375000,0.022239286
3.129437500,0.024591953
3.129500000,0.027013704
3.129562500,0.029396065
3.129625000,0.031620424
3.129687500,0.033519424
3.129750000,0.034920152
3.129812500,0.035678588
3.129875000,0.035773218
3.129937500,0.035317883
3.130000000,0.034543656
3.130062500,0.033720940
3.130125000,0.033122849
3.130187500,0.032922551
3.130250000,0.033131793
3.130312500,0.033576805
3.130375000,0.034013629
3.130437500,0.034215607
3.130500000,0.034073036
3.130562500,0.033622507
3.130625000,0.033045910
3.130687500,0.032560136
3.130750000,0.032284670
3.130812500,0.032149822
3.130875000,0.031947594
3.130937500,0.031437654
3.131000000,0.030496309
3.131062500,0.029206097
3.131125000,0.027869266
3.131187500,0.026861673
3.131250000,0.026448958
3.131312500,0.026629586
3.131375000,0.027163362
3.131437500,0.027654411
3.131500000,0.027766701
3.131562500,0.027379116
3.131625000,0.026686328
3.131687500,0.026027106
3.131750000,0.025695963
3.131812500,0.025734739
3.131875000,0.025937008
3.131937500,0.025871256
3.132000000,0.025131216
3.132062500,0.023541737
3.132125000,0.021356041
3.132187500,0.019083003
3.132250000,0.017318891
3.132312500,0.016469995
3.132375000,0.016687650
3.132437500,0.017703719
3.132500000,0.019013131
3.132562500,0.020058369
3.132625000,0.020549551
3.132687500,0.020404330
3.132750000,0.019766126
3.132812500,0.018849656
3.132875000,0.017935280
3.132937500,0.017124318
3.133000000,0.016377648
3.133062500,0.015531400
3.133125000,0.014535948
3.133187500,0.013355652
3.133250000,0.012047924
3.133312500,0.010691306
3.133375000,0.009515500
3.133437500,0.008660493
3.133500000,0.008188824
3.133562500,0.008014225
3.133625000,0.008104898
3.133687500,0.008331862
3.133750000,0.008565322
3.133812500,0.008651383
3.133875000,0.008623742
3.133937500,0.008514799
3.134000000,0.008377072
3.134062500,0.008185000
3.134125000,0.008011353
3.134187500,0.007836970
3.134250000,0.007624077
3.134312500,0.007281480
3.134375000,0.006901788
3.134437500,0.006571804
3.134500000,0.006400459
3.134562500,0.006409248
3.134625000,0.006724473
3.134687500,0.007362043
3.134750000,0.008282948
3.134812500,0.009339949
3.134875000,0.010499767
3.134937500,0.011681014
3.135000000,0.012800919
3.135062500,0.013715729
3.135125000,0.014449525
3.135187500,0.015045593
3.135250000,0.015624652
3.135312500,0.016300185
3.135375000,0.017328586
3.135437500,0.018856676
3.135500000,0.020895619
3.135562500,0.023227310
3.135625000,0.025638923
3.135687500,0.027848283
3.135750000,0.029649187
3.135812500,0.030922391
3.135875000,0.031825915
3.135937500,0.032584339
3.136000000,0.033414163
3.136062500,0.034364615
3.136125000,0.035439458
3.136187500,0.036498006
3.136250000,0.037367389
3.136312500,0.037888162
3.136375000,0.038123608
3.136437500,0.038245659
3.136500000,0.038496882
3.136562500,0.039044969
3.136625000,0.040029828
3.136687500,0.041412409
3.136750000,0.043014854
3.136812500,0.044541594
3.136875000,0.045791853
3.136937500,0.046634275
3.137000000,0.047062203
3.137062500,0.047139481
3.137125000,0.047047831
3.137187500,0.046934221
3.137250000,0.046873957
3.137312500,0.046820812
3.137375000,0.046722259
3.137437500,0.046498697
3.137500000,0.046120960
3.137562500,0.045611739
3.137625000,0.045122337
3.137687500,0.044792965
3.137750000,0.044709094
3.137812500,0.044824645
3.137875000,0.045059487
3.137937500,0.045254178
3.138000000,0.045273837
3.138062500,0.045042198
3.138125000,0.044653695
3.138187500,0.044226732
3.138250000,0.043861974
3.138312500,0.043542739
3.138375000,0.043221645
3.138437500,0.042725649
3.138500000,0.041885361
3.138562500,0.040600993
3.138625000,0.038995601
3.138687500,0.037268437
3.138750000,0.035673149
3.138812500,0.034401201
3.138875000,0.033601578
3.138937500,0.033211183
3.139000000,0.033037666
3.139062500,0.032818370
3.139125000,0.032397777
3.139187500,0.031657074
3.139250000,0.030590432
3.139312500,0.029267753
3.139375000,0.027876947
3.139437500,0.026518285
3.139500000,0.025225341
3.139562500,0.023948379
3.139625000,0.022694197
3.139687500,0.021419745
3.139750000,0.020142624
3.139812500,0.018940188
3.139875000,0.018015550
3.139937500,0.017474007
3.140000000,0.017318891
3.140062500,0.017415510
3.140125000,0.017593477
3.140187500,0.017591873
3.140250000,0.017224766
3.140312500,0.016458929
3.140375000,0.015483604
3.140437500,0.014515218
3.140500000,0.013742164
3.140562500,0.013227917
3.140625000,0.012928327
3.140687500,0.012616254
3.140750000,0.012047924
3.140812500,0.011081357
3.140875000,0.009797105
3.140937500,0.008355708
3.141000000,0.006965206
3.141062500,0.005772572
3.141125000,0.004867034
3.141187500,0.004155452
3.141250000,0.003482603
3.141312500,0.002714941
3.141375000,0.001867661
3.141437500,0.000994738
3.141500000,0.000188249
3.141562500,-0.000492525
3.141625000,-0.000986993
3.141687500,-0.001336952
3.141750000,-0.001600115
3.141812500,-0.001815916
3.141875000,-0.001925414
3.141937500,-0.001906938
3.142000000,-0.001788364
3.142062500,-0.001699058
3.142125000,-0.001783678
3.142187500,-0.002240991
3.142250000,-0.003200230
3.142312500,-0.004664926
3.142375000,-0.006431961
3.142437500,-0.008229679
3.142500000,-0.009788939
3.142562500,-0.010957337
3.142625000,-0.011697382
3.142687500,-0.012146742
3.142750000,-0.012518546
3.142812500,-0.013011444
3.142875000,-0.013669142
3.142937500,-0.014415887
3.143000000,-0.015059905
3.143062500,-0.015381638
3.143125000,-0.015180728
3.143187500,-0.014409543
3.143250000,-0.013177417
3.143312500,-0.011721761
3.143375000,-0.010290259
3.143437500,-0.009088389
3.143500000,-0.008188824
3.143562500,-0.007516612
3.143625000,-0.006888572
3.143687500,-0.006132739
3.143750000,-0.005176842
3.143812500,-0.004093776
3.143875000,-0.003073049
3.143937500,-0.002328985
3.144000000,-0.001976613
3.144062500,-0.001945544
3.144125000,-0.001996215
3.144187500,-0.001808777
3.144250000,-0.001129493
3.144312500,0.000115307
3.144375000,0.001748049
3.144437500,0.003430223
3.144500000,0.004800345
3.144562500,0.005639584
3.144625000,0.005908881
3.144687500,0.005766424
3.144750000,0.005459215
3.144812500,0.005217277
3.144875000,0.005105924
3.144937500,0.005068924
3.145000000,0.004988594
3.145062500,0.004810992
3.145125000,0.004523558
3.145187500,0.004226680
3.145250000,0.004047350
3.145312500,0.004087512
3.145375000,0.004269504
3.145437500,0.004441877
3.145500000,0.004423847
3.145562500,0.004131294
3.145625000,0.003510287
3.145687500,0.002648609
3.145750000,0.001694239
3.145812500,0.000827579
3.145875000,0.000079880
3.145937500,-0.000558152
3.146000000,-0.001129493
3.146062500,-0.001619825
3.146125000,-0.002053670
3.146187500,-0.002401131
3.146250000,-0.002635483
3.146312500,-0.002733367
3.146375000,-0.002801693
3.146437500,-0.002975567
3.146500000,-0.003388479
3.146562500,-0.004085572
3.146625000,-0.005082218
3.146687500,-0.006302225
3.146750000,-0.007624077
3.146812500,-0.008897795
3.146875000,-0.010062194
3.146937500,-0.011102675
3.147000000,-0.012047924
3.147062500,-0.012915746
3.147125000,-0.013747226
3.147187500,-0.014558388
3.147250000,-0.015342278
3.147312500,-0.016058346
3.147375000,-0.016703473
3.147437500,-0.017297652
3.147500000,-0.017883638
3.147562500,-0.018496413
3.147625000,-0.019186059
3.147687500,-0.019984404
3.147750000,-0.020895619
3.147812500,-0.021883963
3.147875000,-0.022910837
3.147937500,-0.023938879
3.148000000,-0.024942968
3.148062500,-0.025908664
3.148125000,-0.026831623
3.148187500,-0.027708607
3.148250000,-0.028519696
3.148312500,-0.029219748
3.148375000,-0.029743578
3.148437500,-0.030026602
3.148500000,-0.030025685
3.148562500,-0.029742269
3.148625000,-0.029209575
3.148687500,-0.028493239
3.148750000,-0.027672576
3.148812500,-0.026830822
3.148875000,-0.026011400
3.148937500,-0.025227753
3.149000000,-0.024472345
3.149062500,-0.023745619
